"Team Number","Match Number","Name","Auto Move","Auto Coral Lvl 1","Auto Coral Lvl 2","Auto Coral Lvl 3","Auto Coral Lvl 4","Auto Algae Removed","Auto Algae Processed","Auto Algae Net","Teleop","Teleop Coral Lvl 1","Teleop Coral Lvl 2","Teleop Coral Lvl 3","Teleop Coral Lvl 4","Teleop Algae Removed","Teleop Algae Processed","Teleop Algae Net","End game","Parking","Did Move Game Elements","Match Comment"
"6166","6","""Kiersten""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Docked""","","Wasn't moving until last 40 sec, then played defence"
"6381","7","""Kiersten""","true","0","0","0","1","0","0","0","""""","0","0","0","0","0","0","1","""""","""Failed""","""Did Move Coral""","Attempted level 4 multiple times but not successful"
"6732","8","""Cam""","true","0","0","0","0","0","0","0","""""","0","1","0","0","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Intake broke towards end of game"
"7021","1","""Andrew H""","true","0","0","0","0","0","0","0","""""","0","0","2","3","1","1","0","""""","""Docked""","""Did Move Coral"", ""Did Move Algae"", ""Did Score Coral"", ""Did Score Alge""","Had some indecisiveness in picking which feed station to obtain coral from, had no missed coral so consistant scoring. "
"7103","7","""Andrew K""","true","0","0","0","1","0","0","0","""""","0","0","0","6","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Good at lining up and scoring coral. needs to be flush to intake coral."
"7619","1","""Kiersten""","true","0","0","0","0","0","0","0","""""","0","0","0","5","4","0","0","""""","""Docked""","","Very efficient at level four"
"8024","10","""Isaac""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Deep""","""Did Move Algae"""
"8700","5","""""","true","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Failed""","""Did Move Coral""","Crash into one of the cages in the red site during autos"
"8700","10","""""","true","0","0","0","0","0","0","0","""""","1","0","0","0","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral""","Had drive train trouble"
"8701","6","""Andrew K""","true","0","0","0","1","0","0","0","""""","0","0","0","3","0","0","0","""""","""Deep""","""Did Move Coral"", ""Did Score Coral""","Had difficulty lining up for L4 coral in telephone and picking up from feeder station."
"8744","7","""Isaac Leal""","true","0","0","0","1","0","0","0","""""","0","1","2","5","0","0","0","""""","""Failed""","""Did Move Coral"", ""Did Score Coral"""
"8821","1","""Ryan Glaser ""","true","0","0","0","0","0","0","0","""""","3","2","0","0","0","0","0","""hit the cage and bumped it out of the way""","""Docked""","""Did Move Coral"", ""Did Score Coral"""
"9149","3","""Andrew K""","false","0","0","0","0","0","0","0","""""","0","0","1","0","0","0","0","""""","""Docked""","""Did Move Coral"", ""Did Score Coral""","Lost coms, regained coms, scored coral on algae, got coral stuck on robot"
"9578","6","""Cesar Jimenez""","true","0","0","0","0","0","0","0","""""","0","0","0","0","2","1","1","""""","""Docked""","""Did Move Algae"", ""Did Score Alge"""
"9676","6","""Cam""","false","0","0","0","0","0","0","0","""""","0","0","0","0","0","0","0","""""","""Docked""","","Went straight to park"
